date,gas,CO2
2017-12-07,21.16,7.44
2017-12-08,21.38,7.25
2017-12-09,21.25,7.27
2017-12-10,21.12,7.29
2017-12-11,20.99,7.31
2017-12-12,21.9,7.25
2017-12-13,22.26,7.17
2017-12-14,21.5,7.19
2017-12-15,21.7,7.28
2017-12-16,21.67,7.35
2017-12-17,21.63,7.42
2017-12-18,21.6,7.49
2017-12-19,21.19,7.61
2017-12-20,20.18,7.86
2017-12-21,20.33,8.08
2017-12-22,20.29,8.25
2017-12-23,20.2,8.25
2017-12-24,20.12,8.24
2017-12-25,20.03,8.24
2017-12-26,19.95,8.23
2017-12-27,19.86,8.23
2017-12-28,19.88,8.26
2017-12-29,19.88,8.18
2017-12-30,19.78,8.1
2017-12-31,19.69,8.02
