date,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2015-01-01,49306.25,46952.5,45751.5,45306.25,45423.0,45701.5,44075.75,47503.5,49866.25,52540.25,54850.25,57475.0,57693.25,55232.75,54719.5,54937.0,56718.5,60389.0,61435.25,60430.75,57568.75,55394.75,55242.5,52134.25
2015-01-02,46958.5,45447.5,44504.5,44500.0,45682.25,47670.5,51053.0,57471.0,60227.75,61800.0,63124.5,64366.5,64094.5,61972.25,61529.5,61547.25,63086.75,66175.5,66062.5,63967.5,59697.0,55230.5,53440.25,51587.25
2015-01-03,49303.75,47681.75,46503.75,46426.75,46867.75,46871.5,47253.5,50228.75,54075.5,57349.0,59584.0,60883.5,60355.75,59175.25,57918.25,57216.5,58715.25,60736.5,60882.75,59466.0,56310.5,54281.5,54044.5,51233.0
2015-01-04,47679.25,45316.25,44148.75,44226.0,44207.0,43797.0,42139.0,43424.25,46705.25,50637.25,53040.25,55546.5,55772.25,54083.25,52563.25,52298.25,53813.0,57806.75,59212.25,57940.75,54966.25,53676.5,54002.5,51566.5
2015-01-05,50326.5,48599.5,47364.0,47292.25,48370.25,51110.5,57042.25,62795.5,65413.0,66632.5,68106.25,69352.0,69628.0,68316.0,66428.0,67398.75,67484.25,69386.0,70288.0,69327.0,65378.75,62015.75,60043.0,55475.0
2015-01-06,52335.5,50963.75,49733.25,49485.75,50344.5,52804.5,57623.0,62920.0,66005.5,67659.25,69159.75,70539.25,70284.75,69087.75,66353.0,67252.5,67231.5,69219.75,70119.75,69519.5,66033.25,62859.0,61032.0,56566.5
2015-01-07,53114.25,50784.0,49692.75,49799.25,51661.5,54601.25,61002.25,67552.25,69967.75,70590.75,71689.75,72953.5,72430.25,71542.75,71025.75,70844.0,71370.0,74003.75,73938.5,71698.0,67111.25,63521.5,61327.5,56988.0
2015-01-08,54437.5,52171.5,50993.5,51049.0,52044.5,54791.0,60122.5,67408.5,70180.0,70913.75,71825.0,73237.75,72649.5,70389.75,69420.0,69660.5,70401.5,73588.25,73943.0,72008.0,67641.25,63705.0,61782.75,57626.0
2015-01-09,54098.75,52627.5,51514.75,51768.75,53379.75,55947.5,61507.25,69012.5,72065.0,72447.25,72805.0,73830.0,72775.25,70105.5,69449.5,69419.0,70179.5,73132.75,73228.0,71389.0,67328.25,62673.5,59979.0,57396.5
2015-01-10,54760.5,53300.25,51961.75,51746.75,52375.75,52284.5,52771.0,56024.0,59516.75,62534.75,64191.75,65717.75,64711.75,63078.0,62252.25,61386.0,63436.75,65854.25,65902.0,63494.75,59869.75,57495.25,57255.0,54701.0
2015-01-11,51435.0,48887.5,47726.5,47767.5,47979.0,48031.0,47501.75,49656.25,52536.75,55631.25,58019.0,60670.25,60457.75,58380.25,56812.0,56548.0,57929.0,62700.75,64060.25,62618.25,59525.75,57737.25,57935.5,54847.75
